package	batch	workflow_file	failing_step	blocker_type	root_cause	why_not_safely_fixable_now	production_display
cuttlefish	1	.github/workflows/test-cuttlefish.yml	Install Cuttlefish baseline	source_no_longer_reproducible_in_public_ci	Baseline Bazel packaging path is broken on the runner and never produces the expected build output.	Needs an upstream-compatible build path or validated replacement packaging flow; a workflow-only bypass would be fake.	failed_honest_blocker
elastic-ebpf	4	.github/workflows/test-elastic-ebpf.yml	Install Elastic eBPF source	real_upstream_arm_bug_or_toolchain_mismatch	Arm64 build still fails in the libelf link stage with a real native linker error.	Needs a validated upstream/toolchain fix; summary or metadata changes cannot honestly make the package green.	failed_honest_blocker
mesos	5	.github/workflows/test-mesos.yml	Install Apache Mesos source	source_no_longer_reproducible_in_public_ci	Mesos still has an unresolved Arm64 source-build failure in public CI.	Diagnostics are improved locally, but there is still no proven green build path to trust.	failed_honest_blocker
tensorflow-serving	5	.github/workflows/test-tensorflow-serving.yml	Install TensorFlow Serving	no_public_arm_artifact	The requested package is not available from the runner's Ubuntu Arm64 apt sources.	No public Arm64 install candidate exists in the current workflow path.	failed_honest_blocker
CP2K	5	.github/workflows/test-CP2K.yml	Install CP2K	no_public_arm_artifact	The current Ubuntu Arm64 apt source does not provide an install candidate for cp2k.	There is no honest package install path to validate in public CI.	failed_honest_blocker
libhelium	6	.github/workflows/test-libhelium.yml	Install libhelium baseline	real_upstream_arm_bug_or_toolchain_mismatch	The source no longer compiles cleanly against the current GTK/Vala API surface.	Needs an upstream-compatible pin or source patch that is actually validated.	failed_honest_blocker
impala	6	.github/workflows/test-impala.yml	Install Impala	no_public_arm_artifact	The package is not available in the runner's configured Ubuntu Arm64 apt sources.	Using a different source would change what is being tested.	failed_honest_blocker
samba	7	.github/workflows/test-samba.yml	Install Samba baseline from source	runner_dependency_limitation	The enabled vfs_snapper feature requires dbus-1 development files that are missing in the current build environment.	Needs a validated dependency or feature-configuration decision, not a fake pass.	failed_honest_blocker
opengauss	8	.github/workflows/test-opengauss.yml	Test 6 - Regression Validation	real_upstream_arm_bug_or_toolchain_mismatch	The official candidate container image does not start cleanly on Arm64 and exits before readiness.	This is a real next-version failure and must stay visible until the image/runtime issue is resolved.	failed_honest_blocker
kettle	9	.github/workflows/test-kettle.yml	Install Kettle baseline	upstream_private_dependency_login_wall	The Pentaho parent POM dependency fetch returns HTML/login content instead of a public Maven POM.	There is no public reproducible build path for the modern release in this CI environment.	failed_honest_blocker
